,question_text,option_A,option_B,option_C,option_D,answer,explanation,option_E
15,"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as",Letter of Credit (L/C),inflation,laissezfaire,None of the above,Letter of Credit (L/C),"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as Letter of Credit (L/C). A Letter of Credit, also known as LC or Documentary Credit, is a commonly used instrument for effecting payment between a buyer and a seller. It can be a vital part of mitigating a seller's risk of payment in either international trade or domestic business.",
16,First Afghan War took place in,1839,1848,1843,1833,1839,First Afghan War took place in 1839. The First Anglo-Afghan War (also known by the British as the Disaster in Afghanistan) was fought between the British East India Company and the Emirate of Afghanistan from 1839 to 1842.,
17,Gulf cooperation council was originally formed by,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates",Second World Nations,Third World Nations,Fourth World Nations,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates","Gulf cooperation council was created on May 25, 1981, the 630-million-acre (2,500,000 km2) Council comprises the Persian Gulf states of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and the United Arab Emirates.The unified economic agreement between the countries of the Gulf Cooperation Council was signed on November 11, 1981 in Abu Dhabi. These countries are often referred to as The GCC States.",
18,First China War was fought between,China and Egypt,China and Greek,China and Britain,China and France,China and Britain,First China War was fought between China and Britain. It was fought from 1839 - 42. It is also known as first Opium war.,
19,Dumping is,selling of goods abroad at a price well below the production cost at the home market price,"the process by which the supply of a manufacture's product remains low in the domestic market, which",prohibited by regulations of GATT,All of the above,selling of goods abroad at a price well below the production cost at the home market price,"Dumping is a term that is used in financial markets as well as in international trade. In the context of buying and selling securities, dumping refers to the practice of selling large blocks of securities. More specifically, when dumping securities the seller is primarily interested in getting rid of the securities at any price. One simply dumps, or unloads, on the market with no regard to the selling price of the securities.",
20,"For the Olympics and World Tournaments, the dimensions of basketball court are",27 m x 16 m,28 m x 15 m,26 m x 14 m,28 m x 16 m,28 m x 15 m,"For the Olympics and World Tournaments, the dimensions of basketball court are 28 m x 15 m.",
21,"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of",Basketball,Tennis,Cricket,Volleyball,Volleyball,"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of Volleyball.",
22,Each year World Red Cross and Red Crescent Day is celebrated on,June 8,June 18,May 8,May 18,May 8,"Each year World Red Cross and Red Crescent Day is celebrated on May 8. This date is the anniversary of the birth of Henry Dunant, who was born on 8 May 1828.",
23,Famous sculptures depicting art of love built some time in 950 AD - 1050 AD are,Konark Temple,Khajuraho temples,Mahabalipuram temples,Sun temple,Khajuraho temples,"Famous sculptures depicting art of love built some time in 950 AD - 1050 AD are Khajuraho temples. The Khajuraho Group of Monuments is a group of Hindu temples and Jain temples in Chhatarpur district, Madhya Pradesh, India, about 175 kilometres southeast of Jhansi. They are a UNESCO World Heritage Site. The temples are famous for their nagara-style architectural symbolism and their erotic sculptures.",
24,Gravity setting chambers are used in industries to remove,NOx,SOx,CO,suspended particulate matter,suspended particulate matter,"Gravity setting chambers are used in industries to remove suspended particulate matter. A Gravitational Settling Chamber is a rectangular chamber in which several horizontal trays are fixed. When the polluted gas enters the chamber, its velocity is kept low so that the particulates get sufficient time to settle down due to gravity.",
25,Guwahati High Court is the judicature of,Assam,Nagaland,Arunachal Pradesh,All of the above,All of the above,"Guwahati High Court is the judicature of Assam, Nagaland and Arunachal Pradesh.",
26,Friction can be reduced by changing from,rolling to sliding,sliding to rolling,dynamic to static,potential energy to kinetic energy,sliding to rolling,"Friction can be reduced by changing from sliding to rolling. Replace sliding friction with rolling element friction, such as with the use of rolling element bearings.",
27,During eleventh Antarctic Expedition in Nov. 1991/March 1992 ____ was installed.,Second Permanent Station 'Maitree',First permanent station 'Dakshin Gangotri',SODAR (Sonic Detection And Ranging),None of the above,SODAR (Sonic Detection And Ranging),"SODAR (Sonic Detection And Ranging), also written as sodar, is a meteorological instrument also known as a wind profiler which measures the scattering of sound waves by atmospheric turbulence.",
28,"From the following, choose the set in which names of Secretary-Generals of the UNO are arranged in correct chronological order?","Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim.","U Thant, Dag Hammarskjoeld, Trygve Lie, Kurt Waldheim.","U Thant, Kurt Waldheim, Dag Hammarskjoeld, Trygve Lie.","Trygve Lie, U Thant , Dag Hammarskjoeld, Kurt Waldheim.","Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim.","Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim is the correct chronological order of names of Secretary-Generals of the UNO.",
29,Fire temple is the place of worship of which of the following religion?,Taoism,Shintoism,Judaism,Zoroastrianism (Parsi Religion),Zoroastrianism (Parsi Religion),"Fire temple is the place of worship of Zoroastrianism (Parsi Religion). A fire temple in Zoroastrianism is the place of worship for Zoroastrians, often called dar-e mehr (Persian) or agiyari (Gujarati). In the Zoroastrian religion, fire (see atar), together with clean water (see aban), are agents of ritual purity.",
30,Film and TV institute of India is located at,Pune (Maharashtra),Pimpri (Maharashtra),Perambur (Tamilnadu),Rajkot (Gujarat),Pune (Maharashtra),Film and TV institute of India is located at Pune (Maharashtra). The Film and Television Institute of India (FTII) is an autonomous institute under the Ministry of Information and Broadcasting of the Government of India and aided by the Central Government of India. It is situated on the premises of the erstwhile Prabhat Film Company in Pune.,
31,"Georgia, Uzbekistan and Turkmenistan became the members of UNO in",1991,1992,1993,1994,1992,"Georgia, Uzbekistan and Turkmenistan became the members of UNO in 1992.",
32,Guru Gobind Singh was,the 10th Guru of the Sikhs,"founder of Khalsa, the inner council of the Sikhs in 1699",author of Dasam Granth,All the above,All the above,Guru Gobind Singh (1666 - 1708). The 10th Guru of the Sikhs who founded the Khalsa the inner council of the Sikhs in 1699. He is said to be the author of Dasam Granth.,
33,Hermann Scheer (Germany) received right Livelihood Award in 1999 for,his long standing efforts to end the impunity of dictators,his indefatigable work for the promotion of solar energy worldwide,showing that organic agriculture is a key to both environmental sustainability and food security,None of the above,his indefatigable work for the promotion of solar energy worldwide,"Hermann Scheer (Germany) received right Livelihood Award in 1999 for his indefatigable work for the promotion of solar energy worldwide. Hermann Scheer was a Social Democrat member of the German Bundestag, President of Eurosolar and General Chairman of the World Council for Renewable Energy.",
34,Germany signed the Armistice Treaty on ____ and World War I ended,"May 30, 1918","February 15, 1918","November 11, 1918","January 19, 1918","November 11, 1918","Germany signed the Armistice Treaty on November 11, 1918 and World War I ended.",
35,"During World War II, when did Germany attack France?",1940,1941,1942,1943,1940,"During World War II, 1940 Germany attack France. The Battle of France, also known as the Fall of France, was the German invasion of France and the Low Countries during the Second World War. On 3 September 1939 France had declared war on Germany, following the invasion of its ally Poland.",
36,Frederick Sanger is a twice recipient of the Nobel Prize for,Physics in 1956 and 1972,Chemistry in 1958 and 1980,Physics in 1903 and Chemistry in 1911,Chemistry in 1954 and Peace in 1962,Chemistry in 1958 and 1980,"Frederick SangerBorn August 13, 1918, Rendcombe, Gloucestershire, England.English biochemist who was twice the recipient of the Nobel Prize for Chemistry. He was awarded the prize in 1958 for his determination of the structure of the insulin molecule. He shared the prize (with Paul Berg and Walter Gilbert) in 1980 for his determination of base sequences in nucleic acids. Sanger was only the fourth two-time recipient of the Nobel Prize.",
37,The ozone layer restricts,X-rays and gamma rays,Visible light,Infrared radiation,Ultraviolet radiation,Ultraviolet radiation,"The ozone layer restricts ultraviolet radiation. The Ozone layer which is present in the Earth's atmosphere protects it by restricting from UV or Ultraviolet radiation, the dangerous rays contained by Sun.",
38,Eugenics is the study of,genetic of plants,different races of mankind,people of European origin,altering human beings by changing their genetic components,altering human beings by changing their genetic components,"Eugenics is the study of or belief in the possibility of improving the qualities of the human species or a human population, especially by such means as discouraging reproduction by persons having genetic defects or presumed to have inheritable undesirable traits (negative eugenics) or encouraging reproduction by persons presumed to have inheritable desirable traits (positive eugenics)",
39,Euclid was,Greek mathematician,Propounded the geometrical theorems,Contributor to the use of deductive principles of logic as the basis of geometry,All of the above,All of the above,"Euclid was Greek mathematician, propounded the geometrical theorems and contributor to the use of deductive principles of logic as the basis of geometry.",
40,Ecology deals with,Cell formation,Birds,Relation between organisms and their environment,Tissues,Relation between organisms and their environment,"Ecology deals with relation between organisms and their environment. Ecology is the study of the interaction of organisms in an area with their environment. This interaction constitutes an overall adaptation of the organisms to their environment which also includes the continuity of species. However, the availability of organisms in an area is dependent on the type of environment.",
41,Filaria is caused by,Protozoa,Mosquito,Virus,Bacteria,Mosquito,Filaria is caused by Mosquito. Filariasis is a parasitic disease caused by an infection with roundworms of the Filarioidea type. These are spread by blood-feeding diptera such as black flies and mosquitoes.,
42,Goa Shipyard Limited (GSL) was established in,1955,1956,1957,1958,1957,"Goa Shipyard Limited (GSL) was established in 1957. It is a leading ISO 9001-2015 certified shipyard on the West Coast of India, functioning under the administrative control of Ministry of Defence, Govt. of India.",
43,DRDL stands for,Defence Research and Development Laboratary,Differential Research and Documentation Laboratary,Department of Research and Development Laboratory,None of the above,Defence Research and Development Laboratary,"DRDL stands for Defence Research and Development Laboratary, under the Defence Research and Development Organisation (DRDO) - with thrust on design, development and flight evaluation of various types of Missile Systems for the Indian armed forces.",
44,Who was the first Indian Chief of Army Staff of the Indian Army ?,Gen. K.M. Cariappa,Gen. Maharaja Rajendra Singhji,Vice-Admiral R.D. Katari,None of the above,Gen. Maharaja Rajendra Singhji,"Gen. Maharaja Rajendra Singhji was the first Indian Chief of Army Staff of the Indian Army. General Maharaj Shri Rajendrasinhji Jadeja, DSO (15 June 1899 – 1 January 1964), also known as K.S. Rajendrasinhji, was the first Chief of Army Staff of the Indian army, and the second Indian, after Field Marshal K. M.",
45,FRS stands for,Federation of Regulation Society,Fellow Research System,Fellow of Royal Society,None of the above,Fellow of Royal Society,"FRS stands for Fellow of Royal Society. Fellowship of the Royal Society (FRS, ForMemRS and HonFRS) is an award granted to individuals that the Royal Society of London judges to have made a 'substantial contribution to the improvement of natural knowledge, including mathematics, engineering science, and medical science'.",
46,Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the,Centripetal force due to the earth's rotation,Earth's gravitational pull,Pressure of the atmosphere,Moon's gravitational pull,Earth's gravitational pull,Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the Earth's gravitational pull.,
47,GATT (General Agreement on Tariffs and Trade) is,international agreement signed in 1947 between non-communist nations with the object of encouraging,agreement which seeks to achieve its aim by arranging and encouraging bargaining with trade concession,Both option A and B,None of the above,Both option A and B,GATT (General Agreement on Tariffs and Trade) is international agreement signed in 1947 between non-communist nations with the object of encouraging and agreement which seeks to achieve its aim by arranging and encouraging bargaining with trade concession.,
48,Coral reefs in India can be found in,Waltair,Trivandrum,the coast of Orissa,Rameshwaram,Rameshwaram,Coral reefs in India can be found in Rameshwaram. Coral reefs on the Tamil Nadu coast are located in Palk Bay near Rameswaram and in the Gulf of Mannar.,
49,"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having",low specific heat,high melting point,high resistance,low melting point,low melting point,"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having low melting point.",
50,"Golden Temple, Amritsar is India's",largest Gurdwara,oldest Gurudwara,Both option A and B are correct,None of the above,largest Gurdwara,"Golden Temple, Amritsar is India's largest Gurdwara. The Golden Temple Amritsar India (Sri Harimandir Sahib Amritsar) is not only a central religious place of the Sikhs, but also a symbol of human brotherhood and equality. Everybody, irrespective of cast, creed or race can seek spiritual solace and religious fulfilment without any hindrance. It also represents the distinct identity, glory and heritage of the Sikhs.",
51,During World War I Germany was defeated in the Battle of Verdun on the western front and Romania declared war on the eastern front in the year,1914 AD,1915 AD,1916 AD,1917 AD,1916 AD,"During World War I Germany was defeated in the Battle of Verdun on the western front and Romania declared war on the eastern front in the year 1916 AD. Germany signed an armistice (an agreement for peace and no more fighting) that had been prepared by Britain and France. At the start of 1918, Germany was in a strong position and expected to win the war.",
52,Heavy Water Project (Talcher) and Fertilizer plant (Paradeep) are famous industries of,Orissa,Kerala,Tamil nadu,Andhra Pradesh,Orissa,Heavy Water Project (Talcher) and Fertilizer plant (Paradeep) are famous industries of Orissa.,
53,Hamid Karzai was chosen president of Afghanistan in,2000,2001,2002,2003,2002,"Hamid Karzai was chosen president of Afghanistan in 2002. The Karzai administration was the government of Afghanistan under President Hamid Karzai, who became the head of state of Afghanistan in December 2001 after the Taliban government was overthrown. Karzai was appointed at the 2002 Loya Jirga as the Interim President of the Afghan Transitional Administration.",
54,Durand Cup is associated with the game of,Volleyball,Football,Cricket,Hockey,Football,Durand Cup is associated with the game of Football. The Tournament is the oldest football tournament in Asia and third oldest in the world.,
55,Headquarters of UNO are situated at,Paris,Geneva,Haque (Netherlands),"New York, USA","New York, USA","The headquarters of the United Nations is a distinctive complex in New York City (USA). The United Nations has three additional, subsidiary, regional headquarters or headquarter districts. These are located in Geneva (Switzerland), Vienna (Austria), and Nairobi (Kenya).",
56,First International Peace Congress was held in London in,1564 AD,1798 AD,1843 AD,1901 AD,1843 AD,"First International Peace Congress was held in London in 1843 AD. The first International Congress was held in London at the suggestion of Joseph Sturge and on the initiative of the American Peace Society in 1843. The host was the London Peace Society. 294 British, 37 American and six Continental delegates attended.",
57,"For seeing objects at the surface of water from a submarine under water, the instrument used is",periscope,telescope,kaleidoscope,spectroscope,periscope,"For seeing objects at the surface of water from a submarine under water, the instrument used is periscope. It can be through or around the object that made it visible. In addition to this, it avoids any sort of direct sight line from the point of observation to the object being observed.",
58,Dr. Zakir Hussain was,first vice president of India,first speaker of Lok Sabha,the first Muslim president of India,first president of Indian National Congress,the first Muslim president of India,"Dr. Zakir Hussain was the first Muslim president of India. He was the co-founder of Jamia Millia Islamia University. Born on February 8, 1897, in Hyderabad, he was the country's first Muslim president, from May 13, 1967, until his death on May 3, 1969.",
59,G-15 is an economic grouping of,First World Nations,Second World Nations,Third World Nations,Fourth World Nations,Third World Nations,"G-15 is an economic grouping of Third World Nations. The countries listed in G-15 group are Algeria, Argentina, Brazil, Chile, Egypt, India, Indonesia, Iran, Jamaica, Kenya, Malaysia, Mexico, Nigeria, Peru, Senegal, Sri Lanka, Venezuela, and Zimbabwe.",
60,Fathometer is used to measure,Rainfall,Ocean depth,Sound intensity,Earthquakes,Ocean depth,Fathometer is used to measure Ocean depth. Fathometer is a depth finder that uses sound waves to determine the depth of water. The Richter Scale is used to measure the intensity of Earthquakes.,
61,For galvanizing iron which of the following metals is used?,Lead,Aluminium,Copper,Zinc,Zinc,"Zinc is used for galvanizing iron. Galvanization (or galvanizing as it is most commonly called in that industry) is the process of applying a protective zinc coating to steel or iron, to prevent rusting.",
62,Economic goods are,Commodities that is available according to their demand,Commodities that is available more as compared to demand,all commodities that are limited in quantity as compared to their demand,None of the above,all commodities that are limited in quantity as compared to their demand,"Economic goods are all commodities that are limited in quantity as compared to their demand. An economic good is a good or service that has a benefit (utility) to society. Also, economic goods have a degree of scarcity and therefore an opportunity cost.",
63,For purifying drinking water alum is used,for coagulation of mud particles,to remove gases,to kill bacteria,to remove salts,for coagulation of mud particles,"For purifying drinking water alum is used for coagulation of mud particles. Aluminium Sulfate, Shortly known as Alum, when added to raw water reacts with the bicarbonate alkalinities present in water and forms a gelatinous precipitate. The water over this sediment is almost clean other than some fine particles dissolved in it.",
64,Hockey was introduced in the Asian Games in,1966 in Bangkok,1958 in Tokyo,1962 in Jakarta,1970 in Bangkok,1958 in Tokyo,"Hockey was introduced in the Asian Games in 1958 in Tokyo. Field hockey was contested for men only at the 1958 Asian Games in Tokyo, Japan between 25 May and 30 May 1958 with five teams participating in a round robin competition.",
65,ESCAP stands for,European Society Council for Africa and Pacific,Economic and Social Commission for Asia and Pacific,Economic and Social Commission for Africa and Pacific,None of the above,Economic and Social Commission for Asia and Pacific,ESCAP stands for Economic and Social Commission for Asia and Pacific. The Economic and Social Commission for Asia and the Pacific (ESCAP) serves as the United Nations' regional hub promoting cooperation among countries to achieve inclusive and sustainable development.,
66,Firdausi was,a poet,well known for his epic 'Shahnama',Both option A and B,None of the above,Both option A and B,"Firdausi was a poet and well known for his epic 'Shahnama'. Firdausi was a well known poet of Mahmud of Ghazni and wrote a book ,Shahnama, which is about the history of Persia.",
67,Himalayan Mountaineering Institute is at,Dispur,Marmago,Dehradun,Darjeeling,Darjeeling,Himalayan Mountaineering Institute is at Darjeeling. It is recognized as one of the best mountaineering institutes in the world.,
68,Gabriel Daniel Fahrenheit was,a German Physicist,devised temperature scale,developed the mercury thermometer in 1714,All of the above,All of the above,"Gabriel Daniel Fahrenheit was a German Physicist, devised temperature scale and developed the mercury thermometer in 1714. He invented the alcohol thermometer (1709), the first mercury thermometer (1714) and devised the Fahrenheit temperature scale. He also showed the boiling points of liquids vary with changes in pressure and that water can remain liquid below its freezing point.",
69,"During the first crusade, crusaders reached Jerusalem and captured it in",1000 AD,1099 AD,1200 AD,1515 AD,1099 AD,"During the first crusade, crusaders reached Jerusalem and captured it in 1099 AD. They arrived at Jerusalem in June 1099 and took the city by assault on 7 July 1099, massacring the defenders. A brief attempt by the Saracens to recapture Jerusalem was repulsed at the Battle of Ascalon.",
70,Dr. Linus Carl Pauling is the only person to have won two Nobel prizes individually for,"Peace Prize in 1954, Chemistry in 1962","Medicine in 1954, Physics in 1962","Chemistry in 1954, Peace Prize in 1962","Physics in 1954, Medicine in 1962","Chemistry in 1954, Peace Prize in 1962","Dr. Linus Carl Pauling is the only person to have won two Nobel prizes individually for Chemistry in 1954, Peace Prize in 1962. He is one of four individuals to have won more than one Nobel Prize (the others being Marie Curie, John Bardeen and Frederick Sanger).",
71,Free market is,a condition in the international market where nations do not impose customs duty or other taxes on import of goods,market where the price of a commodity is determined by free play of the forces of supply and demand,"ports that are exempted from payment of customs duty on articles of commerce, primarily to encourage tourism",None of the above,market where the price of a commodity is determined by free play of the forces of supply and demand,Free market is market where the price of a commodity is determined by free play of the forces of supply and demand. The free market is an economic system based on supply and demand with little or no government control. It is a summary description of all voluntary exchanges that take place in a given economic environment.,
72,"East Timor, which became the 191st member of the UN, is in the continent of",Europe,Asia,South America,Africa,Asia,"East Timor, which became the 191st member of the UN, is in the continent of Asia. East Timor became the first new sovereign state of the 21st century on 20 May 2002 and joined the United Nations and the Community of Portuguese Language Countries.",
73,Free surface of a liquid behaves like a sheet and tends to contract to the smallest possible area due to the,centrifugal force,force of adhesion,force of friction,force of cohesion,force of cohesion,Free surface of a liquid behaves like a sheet and tends to contract to the smallest possible area due to the force of cohesion. The force of cohesion is defined as the force of attraction between molecules of the same substance.,
74,Gopal Krishna Gokhale,founded the servants of India Society,served as President of the Indian National Congress in 1907,"started as a maths teacher and rose to the position of the principal of Ferguson College, Pune",All of the above,All of the above,"Gopal Krishna Gokhale founded the servants of India Society, served as President of the Indian National Congress in 1907 and started as a maths teacher and rose to the position of the principal of Ferguson College, Pune. Gopal Krishna Gokhale, social reformer who founded a sectarian organization to work for relief of the underprivileged of India.",
75,GNLF stands for,Gross National Liberation Form,Gorkha National Liberation Front,Both option A and B,None of the above,Gorkha National Liberation Front,"GNLF stands for Gorkha National Liberation Front. Gorkha National Liberation Front (GNLF) is a political party in the Darjeeling District of West Bengal, India.",
76,Excessive secretion from the pituitary gland in the children results in,increased height,weakening of bones,retarded growth,None of the above,increased height,"Excessive secretion from the pituitary gland in the children results in increased height. In children and adolescents, excessive levels of growth hormone can result in a condition called gigantism. Children with this condition may have unusually long arms and legs and may grow to heights of 7 to 8 feet or more.",
77,Fa-Hien was,the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya,the discoverer of Puerto Rico and Jamaica,the first Buddhist pilgrim of India to visit China,None of the above,the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya,"Fa-Hien was the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya. He is also renowned for his pilgrimage to Lumbini, the birthplace of Gautama Buddha (modern Nepal).",
78,In which year of First World War Germany declared war on Russia and France?,1914,1915,1916,1917,1914,"August 3, 1914 - Germany declares war on France, and invades neutral Belgium.",
79,ICAO stands for,Indian Corporation of Agriculture Organization,Institute of Company of Accounts Organization,International Civil Aviation Organization,None of the above,International Civil Aviation Organization,"ICAO stands for International Civil Aviation Organization. The International Civil Aviation Organization (ICAO) is a UN specialized agency, established by States in 1944 to manage the administration and governance of the Convention on International Civil Aviation (Chicago Convention).",
80,India's first Technicolor film ____ in the early 1950s was produced by ____,"'Mirza Ghalib', Sohrab Modi","'Mirza Ghalib', Munshi Premchand","'Jhansi Ki Rani', Sir Syed Ahmed","'Jhansi Ki Rani', Sohrab Modi","'Jhansi Ki Rani', Sohrab Modi",India's first Technicolor film Jhansi Ki Rani in the early 1950s was produced by Sohrab Modi.,
81,India has largest deposits of ____ in the world.,copper,gold,mica,None of the above,mica,"The British Geological Survey reports that as of 2005, Kodarma district in Jharkhand state in India had the largest deposits of mica in the world.",
82,How many Lok Sabha seats belong to Rajasthan?,33,25,31,18,25,Rajasthan is a state in north India and has 25 seats in the Lok Sabha of which 4 are reserved for Scheduled Castes and 3 are reserved for Scheduled Tribes.,
83,India's first satellite is named after,Aryabhatta,Bhaskara II,Bhaskara I,Barahmihir,Aryabhatta,"India's first satellite is named after Aryabhatta. The Aryabhata spacecraft,named after the famous indian astronomer,was india's first satellite;It was completely designed and fabricated in India.It was launched by a Soviet Kosmos-3M rocket from Kapustin Yar on April 19,1975.",
84,India's first atomic reactor was,Apsara,Kamini,Zerlina,Dhruva,Apsara,India's first atomic reactor was Apsara. Apsara is the oldest of India's research reactors. The reactor was designed by the Bhabha Atomic Research Center (BARC) and built with assistance from the United Kingdom (which also provided the initial fuel supply consisting of 80 percent enriched uranium). Apsara first went critical on 4 August 1956.,
85,"In which year, terrorists crash two planes into New York's World Trade Centre on September 11 in a sequence of destruction?",2000,2001,2002,2003,2001,"In year 2001, terrorists crash two planes into New York's World Trade Centre on September 11 in a sequence of destruction. The September 11 attacks were a series of airline hijackings and suicide attacks committed in 2001 by 19 terrorists associated with the Islamic extremist group al-Qaeda. It was the deadliest terrorist attack on U.S. soil; nearly 3,000 people were killed.",
86,India's first ocean wave's energy project was launched in,1981,1991,1995,2000,1991,India's first ocean wave's energy project was launched in 1991.,
87,"In which of the following years, the membership of the Security Council was increased from 11 to 15 (under Article 23)?",1960,1965,1972,1975,1965,"In 1965, the membership of the Security Council was increased from 11 to 15 (under Article 23). Expansion of the UN Security Council from 11 to 15 members, with the supermajority required for action being increased from 7 to 9 votes.",
